項次,器材內容,數量,器材編號,未稅單價
,Aputure Light Dome 大布罩,1,,200
,Aputure Light Dome Mini 小布罩,2,,200
,Aputure Fresnel 2x透鏡,2,,200
,Aputure Spacelight 太空燈,1,,200
,Aputure 90 Lantern,1,,200
,Aputure 65 Lantern,1,,200
,Nanlite SB-PR-90 大布罩,1,,200
,Nanlite 80Lantern,1,,200
,Nanlite FL-20G Frensel 2x透鏡（含葉片）,1,,200
,Nanlite EC-FZ60 小布罩,1,,200
,Nanlite FL-11 Forza60專用Fresnel,1,,200
,Nanlite PJ-FZ60 Forza60專用19度Spotlight,1,,400
,Openmoon 4呎燈管蜂巢,2,,200
,Openmoon 2呎燈管蜂巢,2,,100
,50*50反射鏡組,1,,300
,30*30反射鏡組,1,,100
,V-lock 電池,10,,100